Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,01/07/2011,County Court Costs,Solicitors Office,RBSG Central,SE99 1AA,1900053454,40000
HMRC,HMRC,01/07/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,MK10 1PX,5100027544,134192.74
HMRC,HMRC,01/07/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,LS14 1NH,5100027552,20715.31
HMRC,HMRC,01/07/2011,Depart Booklet Stk,Commercial Directorate,St Ives Direct,LS14 1NH,5100027552,13022.48
HMRC,HMRC,01/07/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,LS14 1NH,5100027552,9600.98
HMRC,HMRC,01/07/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,LS14 1NH,5100027552,6984.21
HMRC,HMRC,01/07/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,LS14 1NH,5100027552,2404.92
HMRC,HMRC,01/07/2011,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,TW11 0LY,5100027701,46779.6
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Borough of Telford & Wrekin,TF3 4LP,5100027731,61067
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Salford City Council,M27 5AW,5100027749,129034
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Salford City Council,M27 5AW,5100027750,52826
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Birmingham City Council,B4 7AB,5100027770,33099
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Bournemouth Borough Council,BH2 6EB,5100027780,31239
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Bradford Council,BD1 1HX,5100027782,35073
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Bradford Council,BD1 1HX,5100027783,54558
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Nottingham City Council,NG1 4XX,5100027790,131115
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Bristol City Council,BS99 1ZG,5100027797,32908
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Cardiff County Council,CF10 3WD,5100027801,90308
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Sefton Mbc,L20 3FD,5100027831,37022
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Sefton Mbc,L20 3FD,5100027832,38321
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Sheffield City Council,S1 1UY,5100027833,37671
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,City of  Westminster,SW1E 6QY,5100027842,114434
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,City of  Westminster,SW1E 6QY,5100027845,41903
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Coventry City Council,CV1 5RR,5100027848,52826
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Croydon Council,CR9 1BQ,5100027852,58437
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,ML3 0XJ,5100027856,93095
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,ML3 0XJ,5100027859,29184.2
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Southend Borough Council,SS2 6AN,5100027862,51527
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Sunderland City Council,SR5 9BJ,5100027884,74043
