"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Support/Admin","23300","30000","Administrative Assistant","2.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Project Manager","45500","65000","Corporate Governance Manager","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Associate","32000","41000","Business Planning Associate","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Associate","32000","41000","Consumer Panel Associate","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Project Manager","45500","65000","Consumer Panel Manager","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Associate","32000","41000","Corporate Affairs Associate","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","SMT/Head of","62000","100000","Legal Director","1.00","Law"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","SMT/Head of","62000","100000","Legal Advisor","1.00","Law"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Project Manager","45500","65000","Communications Manager","1.00","Communications"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCD","Support/Admin","23300","30000","Office Services Co-Ordinator","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBCEO","Support/Admin","23300","30000","Personal Assistant","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","Associate","32000","41000","Regulatory Associate","6.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","Project Manager","45500","65000","Regulatory Project Manager","4.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","SMT/Head of","62000","100000","Head of Development and Research","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Services Board","Legal Services Board","LSBSD","SMT/Head of","62000","100000","Head of Statutory Decisions","1.00","Programme and Project Management (PPM)"
