ExtractionDate,PublisherLabel,PublisherURI,BeneficiaryName,OrganisationType,CompanyNumber,CharityNumber,AwardDate,PaymentDate,GrantDuration,Department,GrantProgrammeName,TotalGrantAwarded,TotalCostOfProject,GrantPaid2015/16,PurposeOfGrant,GeoAreaURI,GeoAreaLabel
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grasmere Parochial Church Council,Church Council,,,01/04/1974,16/11/2015,Ongoing,Streetscene,Cemeteries Grants to Burial Authorities,,,520,"Maintenance of St Oswalds, Grasmere closed churchyard, statutory obligation",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Beetham Parochial Church Council,Church Council,,,01/04/1974,16/11/2015,Ongoing,Streetscene,Cemeteries Grants to Burial Authorities,,,500,"Maintenance of St Michaels, Beetham closed churchyard, statutory obligation",http://statistics.data.gov.uk/id/statistical-geography/E05003236,Arnside and Beetham
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Arnside Parichial Church Council,Church Council,,,01/04/1974,29/03/2016,One off,Streetscene,Cemeteries Grants to Burial Authorities,,,1750,"Contribution to Arnside Cemetary, not a statutory obligation",http://statistics.data.gov.uk/id/statistical-geography/E05003236,Arnside and Beetham
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kirkby Ireleth Parochial Church Council,Church Council,,,01/04/1974,16/11/2015,Ongoing,Streetscene,Cemeteries Grants to Burial Authorities,,,500,"Maintenance of St Cuthberts closed churchyard, statutory obligation",http://id.esd.org.uk/neighbourhood/NN319a,Broughton
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Coniston Parochial Church Council,Church Council,,,01/04/1974,16/11/2015,Ongoing,Streetscene,Cemeteries Grants to Burial Authorities,,,800,"Maintenance of St Andrews, Coniston closed churchyard, statutory obligation",http://statistics.data.gov.uk/id/statistical-geography/E05003241,Coniston and Crake Valley
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,St Thomas Parochial Church Council,Church Council,,,01/04/1974,16/11/2015,Ongoing,Streetscene,Cemeteries Grants to Burial Authorities,,,440,"Maintenance of St Thomas, Kendal closed churchyard, statutory obligation",http://statistics.data.gov.uk/id/statistical-geography/E05003249,Kendal Fell
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,St Marys Parochial Church Council,Church Council,,,01/04/1974,16/11/2015,Ongoing,Streetscene,Cemeteries Grants to Burial Authorities,,,1300,"Maintenance of St Marys, Kirkby Lonsdale closed churchyard, statutory obligation",http://statistics.data.gov.uk/id/statistical-geography/E05003266,Sedbergh and Kirkby Lonsdale
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Action with Communities in Cumbria,Charity,,1080875,20/03/2014,03/08/2015,2 years,Partnerships and Organisational Development,Community Development Support,10000,,5000,"Provide advice and support to communities including resources and training on emergency planning, neighbourhood planning and community led plan actions",http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Cumbria Council for Voluntary Services,Charity,8703970,1119671,20/03/2014,06/07/2015,2 years,Partnerships and Organisational Development,Community Development Support,20000,,10000,"For a variety of work including establishing a third sector forum, networking and peer group events, experts by experience learning opportunities, developing partnership working models, South Lakeland e bulletin and providing training events and programmes",http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Cumbria County Council,Local Authority,,,,06/07/2015,One off,Partnerships and Organisational Development,Community Development Support,5000,,5000,Contribution to apprencticeship/trainee scheme for vulnerable young people,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal Festival of Food,Community Group,,,,09/03/2016,One off,Neighbourhood Services,Contributions to organisations,5000,,5000,Kendal Festival of Food 2016,http://statistics.data.gov.uk/id/statistical-geography/E04002617,Kendal
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,North County Leisure,Community Group,,,,22/02/2016,One off,Business Support,Contributions to organisations,5000,,5000,Contribution toward 2016 swim safe events,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston Community Enterprise,Community Group,,,,08/04/2015,One off,Business Support,Contributions to organisations,8000,,8000,Contribution to costs of preparing transfer of Coronation Hall and Markets to UCE,http://statistics.data.gov.uk/id/statistical-geography/E04002655,Ulverston
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland Credit Union,Charity,,,01/02/2014,10/02/2016,one off,Partnerships and Organisational Development,Financial Services Grant,50000,,50000,Contribution to South Lakes Credit Union,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
